number;ao;institution;odh_name;odh_id;address_hint;container_count;placement_type;geometry_status
1;САО;"ГБУ ""Автомобильные дороги САО""";Михалковский путепровод;10002348;Михалковский путепровод  (Спуски, подъемы);3;особо опасные участки;odh_geometry_proxy
2;САО;"ГБУ ""Автомобильные дороги САО""";Фестивальная улица;10002614;Ул. Фестивальная д.2 (Уклон,подъем);1;особо опасные участки;odh_geometry_proxy
3;САО;"ГБУ ""Автомобильные дороги САО""";1 -я Магистральная ул.;10002243;Крутой подъем на границе с Звенигородским путепроводом;1;особо опасные участки;odh_geometry_proxy
4;САО;"ГБУ ""Автомобильные дороги САО""";Коптевский путепровод;668171191;Ул.К.Цеткин, Нарвская ул.2 (Крутые спуски,подъемы);2;особо опасные участки;odh_geometry_proxy
5;САО;"ГБУ ""Автомобильные дороги САО""";Улица Долгопрудная;3476410;Ул.Долгопрудная -пересеч с -Карельский б-р (Спуски, подъемы движение пассаж.транспорта);1;особо опасные участки;no_odh_geometry_match
6;САО;"ГБУ ""Автомобильные дороги САО""";Коровинское шоссе;10002290;Коровинское шоссе от ул.Базовская до плодоовощной базы (Спуски, подъемы, движение пассаж .транс порта, образование наледи (изморось отТЭЦ-21));1;особо опасные участки;odh_geometry_proxy
7;САО;"ГБУ ""Автомобильные дороги САО""";Путепровод через Дмитровское шоссе;10002650;Путепровод через Дмитровское шоссе (Крутые спуски,подъемы);2;особо опасные участки;odh_geometry_proxy
8;САО;"ГБУ ""Автомобильные дороги САО""";Фестивальная улица;10002614;Фестивальная улица, д.48. д 52 (крутые спуски, подъемы перед эстакадой);2;особо опасные участки;odh_geometry_proxy
9;САО;"ГБУ ""Автомобильные дороги САО""";Хорошевское шоссе;10002622;"Хорошевское шоссе, д.43  МЦК ""Хорошево""";2;особо опасные участки;odh_geometry_proxy
10;САО;"ГБУ ""Автомобильные дороги САО""";Вагоноремонтная улица;10002211;Вагоноремонтная ул. д 4-10 (спуски,подъемы);2;особо опасные участки;odh_geometry_proxy
11;САО;"ГБУ ""Автомобильные дороги САО""";Лобненская улица;10002320;Лобненская ул. д.4-10 с.6 (спуски, подъемы);1;особо опасные участки;odh_geometry_proxy
12;САО;"ГБУ ""Автомобильные дороги САО""";Ангарская улица;10002178;Ангарская ул. 2;1;особо опасные участки;odh_geometry_proxy
13;САО;"ГБУ ""Автомобильные дороги САО""";Бескудниковский бульвар;10002198;"Бескудникоский бульвар перед 
Дмитровским шоссе д.66";1;особо опасные участки;odh_geometry_proxy
14;САО;"ГБУ ""Автомобильные дороги САО""";П-Разумовская аллея;4136841;П-Разумовская аллея д.2-10 (На пересечении уклон);1;особо опасные участки;no_odh_geometry_match
15;САО;"ГБУ ""Автомобильные дороги САО""";Театральная аллея;10002602;Театральная аллея (Спуски, подъемы);1;особо опасные участки;odh_geometry_proxy
16;САО;"ГБУ ""Автомобильные дороги САО""";Петрозаводская ул.;2890359;Петрозаводская ул. 9д;1;особо опасные участки;no_odh_geometry_match
