number;district;address;area_m2;note;source_period;geocode_status;latitude;longitude;geocode_label
1;АВД САО;Ижорская 17-19;10000.0;Сохраняется;2025-2026;candidate;55.8965999;37.5263415;Ижорская улица, Дмитровский, Дмитровский район, Москва, Центральный федеральный округ, 127644, Россия
2;Аэропорт;ул. Черняховского, вл. 19;20500.0;Сохраняется;2025-2026;candidate;55.8020345;37.5330544;улица Черняховского, район Аэропорт, Москва, Центральный федеральный округ, 125319, Россия
3;Беговой;1-й Боткинский пр-д, вл. 7;8000.0;Ведется передача площадок под реновацию, выход на смр в октябре;2025-2026;not_found;;;
4;Беговой;Брянский пост;4000.0;На участке завершены работы по возвезению новой базы ГБУ;2025-2026;candidate;55.7727921;37.5493180;улица Брянский Пост, Пресненский район, Москва, Центральный федеральный округ, 125284, Россия
5;Бескудниковский;Дмитровское шоссе, д. 62В;5000.0;Сохраняется;2025-2026;not_found;;;
6;Войковский;Нарвская 2;750.0;Планируется СМР базы ГБУ;2025-2026;candidate;55.8336384;37.5086897;2, Нарвская улица, район Коптево, Москва, Центральный федеральный округ, 125130, Россия
7;Восточное Дегунино;Керамический проезд вл.63;6500.0;Сохраняется;2025-2026;candidate;55.8790927;37.5672490;Керамический проезд, район Восточное Дегунино, Москва, Центральный федеральный округ, 127540, Россия
8;Головинский;4-й Лихачевкий переулок, 5с3;7520.0;Площадки переданы в МФР, начало смр в сентябре;2025-2026;not_found;;;
9;Головинский;3-й Лихачевкий переулок, 2;7500.0;Площадки переданы в МФР, начало смр в сентябре;2025-2026;not_found;;;
10;Головинский;Лавочкина 26;8500.0;На участке установлен бытовой городок МФР;2025-2026;candidate;55.8520736;37.4990503;26, улица Лавочкина, район Ховрино, Москва, Центральный федеральный округ, 125581, Россия
11;Западное Дегунино;ул. Краснополянская, вл. 2/6;5800.0;Сохраняется;2025-2026;candidate;55.8845051;37.4880549;Краснополянская улица, Бусиново, район Западное Дегунино, Москва, Центральный федеральный округ, 125599, Россия
12;Западное Дегунино;Ижорская 4;8000.0;Сохраняется;2025-2026;candidate;55.8862809;37.5007565;7 с4, Ижорская улица, Бусиново, район Западное Дегунино, Москва, Центральный федеральный округ, 125599, Россия
13;Коптево;ул. Михалковская, дом 65 стр 3;4000.0;Сохраняется;2025-2026;not_found;;;
14;Коптево;Черепановых вл.3;8000.0;Сохраняется;2025-2026;candidate;55.8460483;37.5521173;проезд Черепановых, район Коптево, Москва, Центральный федеральный округ, 125183, Россия
15;Коптево;Нарвская 2;15000.0;Планируется СМР базы ГБУ;2025-2026;candidate;55.8336384;37.5086897;2, Нарвская улица, район Коптево, Москва, Центральный федеральный округ, 125130, Россия
16;Коптево;Черепановых вл 2-10;5000.0;Сохраняется;2025-2026;not_found;;;
17;Левобережный;Фестивальная улица, вл. 6;5500.0;Выход подрядчика на работы в октябре 2026;2025-2026;candidate;55.8620377;37.5043285;Фестивальная улица, район Ховрино, Москва, Центральный федеральный округ, 125414, Россия
18;Молжаниновский;Ленинградское шоссе 288;2500.0;Сохраняется;2025-2026;candidate;55.9392079;37.3728248;288, Ленинградское шоссе, Молжаниновский район, Москва, Центральный федеральный округ, 141501, Россия
19;Сокол;ул. Куусинена вл. 25А;8000.0;Сохраняется;2025-2026;not_found;;;
20;Тимирязевский;Дмитровский проезд 18;10000.0;Сохраняется;2025-2026;candidate;55.8076638;37.5642799;18, Дмитровский проезд, Тимирязевский район, Москва, Центральный федеральный округ, 125206, Россия
21;Ховрино;Библиотечный 2б;3500.0;Завершение работ по благоустройству в сентябре (ТПУ);2025-2026;candidate;55.8797096;37.4843825;2Б, Библиотечный проезд, район Ховрино, Москва, Центральный федеральный округ, 125475, Россия
22;Ховрино;Зеленоградская 18Б;5000.0;Сохраняется;2025-2026;candidate;55.8709190;37.5037918;18Б, Зеленоградская улица, район Ховрино, Москва, Центральный федеральный округ, 125475, Россия
23;Хорошевский;Хорошевское шоссе 100;8000.0;Выход подрядчика на работы в июне (Концессия);2025-2026;candidate;55.7776455;37.5200337;Хорошёвское шоссе, Хорошёвский район, Москва, Центральный федеральный округ, 123007, Россия
24;Хорошевский;Зорге 7;1500.0;Выход подрядчика на работы в июне (Концессия);2025-2026;candidate;55.7801756;37.5085176;7 с1, улица Зорге, Хорошёвский район, Москва, Центральный федеральный округ, 125252, Россия
25;Хорошевский;Зорге 25;2800.0;Ведутся СМР (Концессия);2025-2026;candidate;55.7950648;37.5037820;25, улица Зорге, район Сокол, Москва, Центральный федеральный округ, 123298, Россия
1;2.0;3.0;4.0;5.0;2025-2026;candidate;55.7505412;37.6174782;Москва, Центральный федеральный округ, Россия
1;АВД САО;Талдомская 2 Б (Ангары);4000.0;Управления строительства, реконструкции, землепользования;2025-2026;not_found;;;
2;Войковский;ул. Клары Цеткин, д. 33, корп. 50 (вдоль ЖД);40500.0;Управы района;2025-2026;not_found;;;
3;Головинский;Проезд Черепановых 23-29А;26000.0;"ГКУ ""Дирекция ДЖКиБ САО""";2025-2026;candidate;55.8448647;37.5475803;проезд Черепановых, район Коптево, Москва, Центральный федеральный округ, 125183, Россия
4;Головинский;"2-й Лихачевский переулок, 
д. 12А (напротив вл. 9)";2500.0;Управы района;2025-2026;not_found;;;
5;Дмитровский;Ижорская  улица 9Бс2;28000.0;"ГКУ ""Дирекция ДЖКиБ САО""";2025-2026;candidate;55.8878541;37.5087509;Ижорская улица, Дмитровский, Дмитровский район, Москва, Центральный федеральный округ, 125599, Россия
6;Дмитровский;Ижорская улица, 9;30899.0;"ГКУ ""Дирекция ДЖКиБ САО""";2025-2026;candidate;55.8945773;37.5109271;Котельно-турбинное отделение № 1, 9 с1, Ижорская улица, Дмитровский, Дмитровский район, Москва, Центральный федеральный округ, 125412, Россия
7;Дмитровский;Лобненская 21, с.22;25039.0;"ГКУ ""Дирекция ДЖКиБ САО""";2025-2026;not_found;;;
8;Дмитровский;Вагоноремонтная ул., д. 2, стр. 2;1500.0;Управы района;2025-2026;not_found;;;
9;Коптево;Нарвская ул., вл. 4 (территория под Коптевским путепроводом и вблизи);3035.0;Управления строительства, реконструкции, землепользования;2025-2026;not_found;;;
10;Левобережный;Ленинградское ш., вл. 73;6200.0;Управы района;2025-2026;candidate;55.8147905;37.5011558;Ленинградское шоссе, район Сокол, Москва, Центральный федеральный округ, 125493, Россия
11;Молжаниновский;Новосходненское ш. 2;8800.0;Управления строительства, реконструкции, землепользования;2025-2026;candidate;55.9352955;37.3519439;170/2, Новосходненское шоссе, Верескино, Молжаниновский район, Москва, Центральный федеральный округ, 141431, Россия
12;Молжаниновский;Ленинградское шоссе  311, стр. 11;113511.0;"ГКУ ""Дирекция ДЖКиБ САО""";2025-2026;not_found;;;
13;Молжаниновский;Приозёрная улица, 42А;278700.0;"ГКУ ""Дирекция ДЖКиБ САО""";2025-2026;candidate;55.9509867;37.3557337;Приозёрная улица, Черкизово, Молжаниновский район, Москва, Центральный федеральный округ, 141431, Россия
14;Сокол;ул. Зорге, влд. 30А;18400.0;Управления строительства, реконструкции, землепользования;2025-2026;not_found;;;
15;Сокол;Светлый пр-д, 2;2500.0;Управления строительства, реконструкции, землепользования;2025-2026;candidate;55.8918397;38.1469847;Светлый проезд, Свердловский, городской округ Лосино-Петровский, Московская область, Центральный федеральный округ, 141140, Россия
16;Хорошевский;2-я Магистральная ул., вл. 18;5300.0;Управления строительства, реконструкции, землепользования;2025-2026;candidate;55.7608391;37.5261862;2-я Магистральная улица, Хорошёвский район, Москва, Центральный федеральный округ, 123290, Россия
17;Хорошевский;1-я Магистральная ул, д. 2 (около);1800.0;Управы района;2025-2026;not_found;;;
18;Хорошевский;3-я магистральная ул, д. 26с1 (около);1500.0;Управы района;2025-2026;not_found;;;
19;Хорошевский;Хорошевское ш., д. 46 (около);4000.0;Управы района;2025-2026;not_found;;;
