name;address;facility_type;ownership;verification_status;latitude;longitude;official_source;official_evidence;yandex_maps_search;2gis_search;google_maps_search;note
ГБУЗ «Городская поликлиника № 45 ДЗМ»;Москва, 5-й Войковский проезд, 12;взрослая поликлиника;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.8179022;37.4881479;https://gp45msk.ru/content/info;Официальная страница контактов: головное учреждение.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%205-%D0%B9%20%D0%92%D0%BE%D0%B9%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%2C%2012;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%205-%D0%B9%20%D0%92%D0%BE%D0%B9%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%2C%2012;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%205-%D0%B9%20%D0%92%D0%BE%D0%B9%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%2C%2012;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «Городская поликлиника № 45 ДЗМ», филиал;Москва, Пулковская улица, 8, строение 1;взрослая поликлиника;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.8450761;37.4886374;https://gp45msk.ru/content/info;Официальная страница контактов: филиал.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9F%D1%83%D0%BB%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%208%2C%20%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5%201;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9F%D1%83%D0%BB%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%208%2C%20%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5%201;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9F%D1%83%D0%BB%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%208%2C%20%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5%201;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «Городская поликлиника № 45 ДЗМ», филиал;Москва, Флотская улица, 9, строение 1;взрослая поликлиника;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.8541982;37.5001724;https://gp45msk.ru/content/info;Официальная страница контактов: филиал.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%A4%D0%BB%D0%BE%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%209%2C%20%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5%201;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%A4%D0%BB%D0%BE%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%209%2C%20%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5%201;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%A4%D0%BB%D0%BE%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%209%2C%20%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5%201;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «Городская поликлиника № 45 ДЗМ», филиал;Москва, Синявинская улица, 1Б;взрослая поликлиника;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.946722;37.3520252;https://gp45msk.ru/content/info;Официальная страница контактов: филиал в Молжаниновском районе.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%A1%D0%B8%D0%BD%D1%8F%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%201%D0%91;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%A1%D0%B8%D0%BD%D1%8F%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%201%D0%91;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%A1%D0%B8%D0%BD%D1%8F%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%201%D0%91;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «Городская поликлиника № 45 ДЗМ», филиал;Москва, 1-я Радиаторская улица, 5;взрослая поликлиника;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.8183615;37.4949108;https://gp45msk.ru/content/info;Официальная страница контактов: филиал.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%201-%D1%8F%20%D0%A0%D0%B0%D0%B4%D0%B8%D0%B0%D1%82%D0%BE%D1%80%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%205;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%201-%D1%8F%20%D0%A0%D0%B0%D0%B4%D0%B8%D0%B0%D1%82%D0%BE%D1%80%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%205;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%201-%D1%8F%20%D0%A0%D0%B0%D0%B4%D0%B8%D0%B0%D1%82%D0%BE%D1%80%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%205;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «Городская поликлиника № 6 ДЗМ»;Москва, улица Вучетича, 7Б;взрослая поликлиника;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.8075747;37.5567689;https://gp6.moscow/m/contacts/;Официальная страница контактов: головное учреждение.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%206%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%92%D1%83%D1%87%D0%B5%D1%82%D0%B8%D1%87%D0%B0%2C%207%D0%91;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%206%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%92%D1%83%D1%87%D0%B5%D1%82%D0%B8%D1%87%D0%B0%2C%207%D0%91;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%206%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%92%D1%83%D1%87%D0%B5%D1%82%D0%B8%D1%87%D0%B0%2C%207%D0%91;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «ГКБ им. С. П. Боткина ДЗМ»;Москва, 2-й Боткинский проезд, 5;городская клиническая больница;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.7814819;37.5495726;https://botkinmoscow.ru/contacts/;Официальная страница контактов больницы ДЗМ.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%9A%D0%91%20%D0%B8%D0%BC.%20%D0%A1.%20%D0%9F.%20%D0%91%D0%BE%D1%82%D0%BA%D0%B8%D0%BD%D0%B0%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%202-%D0%B9%20%D0%91%D0%BE%D1%82%D0%BA%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%2C%205;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%9A%D0%91%20%D0%B8%D0%BC.%20%D0%A1.%20%D0%9F.%20%D0%91%D0%BE%D1%82%D0%BA%D0%B8%D0%BD%D0%B0%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%202-%D0%B9%20%D0%91%D0%BE%D1%82%D0%BA%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%2C%205;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%9A%D0%91%20%D0%B8%D0%BC.%20%D0%A1.%20%D0%9F.%20%D0%91%D0%BE%D1%82%D0%BA%D0%B8%D0%BD%D0%B0%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%202-%D0%B9%20%D0%91%D0%BE%D1%82%D0%BA%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%2C%205;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «Детская городская поликлиника № 39 ДЗМ»;Москва, проезд Берёзовой Рощи, 2;детская поликлиника / травматологический пункт;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.7853805;37.5206101;https://www.dgp86.ru/poliklinika/travmpunkt/;Официальная страница ДГП № 86 перечисляет детский травмпункт ДГП № 39 по этому адресу.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2039%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%20%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%A0%D0%BE%D1%89%D0%B8%2C%202;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2039%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%20%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%A0%D0%BE%D1%89%D0%B8%2C%202;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2039%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4%20%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%A0%D0%BE%D1%89%D0%B8%2C%202;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «Детская городская поликлиника № 86 ДЗМ»;Москва, Коровинское шоссе, 36А;детская поликлиника / травматологический пункт;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.887451;37.5182424;https://www.dgp86.ru/poliklinika/travmpunkt/;Официальная страница ДГП № 86: адрес травматологического пункта.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2086%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9A%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B5%20%D1%88%D0%BE%D1%81%D1%81%D0%B5%2C%2036%D0%90;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2086%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9A%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B5%20%D1%88%D0%BE%D1%81%D1%81%D0%B5%2C%2036%D0%90;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2086%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9A%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B5%20%D1%88%D0%BE%D1%81%D1%81%D0%B5%2C%2036%D0%90;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
ГБУЗ «Городская поликлиника № 45 ДЗМ», филиал;Москва, Петрозаводская улица, 26;взрослая поликлиника;государственное учреждение здравоохранения города Москвы (ДЗМ);"подтверждено официальным сайтом; координата геокодирована";55.8680177;37.492277;https://gp45msk.ru/content/info;Официальная страница контактов: филиал.;https://yandex.ru/maps/?text=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%2026;https://2gis.ru/moscow/search/%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%2026;https://www.google.com/maps/search/?api=1&query=%D0%93%D0%91%D0%A3%D0%97%20%C2%AB%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20%E2%84%96%2045%20%D0%94%D0%97%D0%9C%C2%BB%2C%20%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C%20%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C%2026;"Ссылки агрегаторов — поисковые ссылки для сверки карточки; не являются самостоятельным доказательством статуса."
