seq_ao;source_name;registry_id;registry_name;match_method;representation;verification;longitude;latitude
1;Коровинское шоссе;10002290;Коровинское шоссе;exact;geometry_from_registry;confirmed_registry_match;;
2;ТПУ «Беговая»;314892354;ТПУ Беговая АВД САО;fuzzy;geometry_from_registry;manual_review_required;;
3;Хорошевское шоссе;10002622;Хорошевское шоссе;exact;geometry_from_registry;confirmed_registry_match;;
4;1-я Магистральная улица;10002325;1-я Магистральная улица;exact;geometry_from_registry;confirmed_registry_match;;
5;Бескудниковский бульвар;10002198;Бескудниковский бульвар;exact;geometry_from_registry;confirmed_registry_match;;
6;Кронштадтский бульвар;10002298;Кронштадтский бульвар;exact;geometry_from_registry;confirmed_registry_match;;
7;Михалковская улица;10002347;Михалковская улица;exact;geometry_from_registry;confirmed_registry_match;;
8;Михалковский путепровод;10002348;Михалковский путепровод;exact;geometry_from_registry;confirmed_registry_match;;
9;Онежская улица;10002381;Онежская улица;exact;geometry_from_registry;confirmed_registry_match;;
10;Петровский парк;10002406;Петровский парк;exact;geometry_from_registry;confirmed_registry_match;;
11;Планетная улица;10002411;Планетная улица;exact;geometry_from_registry;confirmed_registry_match;;
12;Пр-д под Краснопресненским п/п;10002448;Пр-д под Краснопресненским п/п;exact;geometry_from_registry;confirmed_registry_match;;
13;Путепровод через Дмитровское шоссе;10002650;Путепровод через Дмитровское шоссе;exact;geometry_from_registry;confirmed_registry_match;;
14;Смольная улица;10002587;Смольная улица;exact;geometry_from_registry;confirmed_registry_match;;
15;Талдомская улица;10002601;Талдомская улица;exact;geometry_from_registry;confirmed_registry_match;;
16;Тимирязевская улица;10002605;Тимирязевская улица;exact;geometry_from_registry;confirmed_registry_match;;
17;улица Авиаконструктора Микояна;10002169;улица Авиаконструктора Микояна;exact;geometry_from_registry;confirmed_registry_match;;
18;улица Авиаконструктора Сухого;10002667;улица Авиаконструктора Сухого;exact;geometry_from_registry;confirmed_registry_match;;
19;Поликарпова улица;10002438;Поликарпова улица;exact;geometry_from_registry;confirmed_registry_match;;
20;улица Софьи Ковалевской;10002280;улица Софьи Ковалевской;exact;geometry_from_registry;confirmed_registry_match;;
21;Фестивальная улица;10002614;Фестивальная улица;exact;geometry_from_registry;confirmed_registry_match;;
22;Флотская улица;10002615;Флотская улица;exact;geometry_from_registry;confirmed_registry_match;;
23;Библиотечный проезд;10002201;Библиотечный проезд;exact;geometry_from_registry;confirmed_registry_match;;
24;Бусиновский проезд (развязка МКАД 79 км);10002462;Бусиновский проезд (развязка МКАД 79 км);exact;geometry_from_registry;confirmed_registry_match;;
25;ТПУ Балтийская АвД САО;666849395;ТПУ Балтийская АвД САО;exact;geometry_from_registry;confirmed_registry_match;;
26;ТПУ Речной вокзал АвД САО;757159046;ТПУ Речной вокзал АвД САО;exact;geometry_from_registry;confirmed_registry_match;;
27;ТПУ Ховрино АВД САО;800905601;ТПУ Ховрино АВД САО;exact;geometry_from_registry;confirmed_registry_match;;
28;Театральная аллея;10002602;Театральная аллея;exact;geometry_from_registry;confirmed_registry_match;;
29;ТПУ «Аэропорт» (район Аэропорт);314903749;ТПУ «Аэропорт» (район Аэропорт);exact;geometry_from_registry;confirmed_registry_match;;
30;улица Серегина;10002577;улица Серегина;exact;geometry_from_registry;confirmed_registry_match;;
31;Ленинградский пр-т, д.76А (тыльная сторона ТЦ Метромаркет);12344925;Ленинградский пр-т, д.76А (тыльная сторона ТЦ Метромаркет);exact;geometry_from_registry;confirmed_registry_match;;
32;Правды ул.;10002546;Правды ул.;exact;geometry_from_registry;confirmed_registry_match;;
33;3-я улица Ямского Поля;10002645;3-я улица Ямского Поля;exact;geometry_from_registry;confirmed_registry_match;;
34;Расковой улица;10002568;Расковой улица;exact;geometry_from_registry;confirmed_registry_match;;
35;1-я улица Ямского поля;10002644;1-я улица Ямского Поля;exact;geometry_from_registry;confirmed_registry_match;;
36;Беговая аллея;10002194;Беговая аллея;exact;geometry_from_registry;confirmed_registry_match;;
37;1-й Боткинский проезд;10002203;1-й Боткинский проезд;exact;geometry_from_registry;confirmed_registry_match;;
38;2-й Боткинский проезд (Бориса Петровского);10002204;2-й Боткинский проезд (Бориса Петровского);exact;geometry_from_registry;confirmed_registry_match;;
39;Нижняя улица;10002374;Нижняя улица;exact;geometry_from_registry;confirmed_registry_match;;
40;5-я улица Ямского Поля;10002646;5-я улица Ямского Поля;exact;geometry_from_registry;confirmed_registry_match;;
41;Бесскудниковский переулок;10002199;Бескудниковский переулок;fuzzy;geometry_from_registry;manual_review_required;;
42;Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183;10002485;Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183;exact;geometry_from_registry;confirmed_registry_match;;
43;Проезд от Бескудниковского б-ра у торгового центра до Дубнинской ул.;10002487;Проезд от Бескудниковского бульвара до проезда у торгового центра;fuzzy;geometry_from_registry;manual_review_required;;
44;ТПУ Балтийская Жилищник Войковский;12345393;ТПУ Балтийская Жилищник Войковский;exact;geometry_from_registry;confirmed_registry_match;;
45;Старопетровский проезд;10002592;Старопетровский проезд;exact;geometry_from_registry;confirmed_registry_match;;
46;Улица Космонавта Волкова;10002227;Улица Космонавта Волкова;exact;geometry_from_registry;confirmed_registry_match;;
47;1-й Войковский проезд;10002221;1-й Войковский проезд;exact;geometry_from_registry;confirmed_registry_match;;
48;5-й Войковский проезд;10002225;5-й Войковский проезд;exact;geometry_from_registry;confirmed_registry_match;;
49;Дубнинская улица;10002256;Дубнинская улица;exact;geometry_from_registry;confirmed_registry_match;;
50;Керамический проезд;753906080;Керамический проезд;exact;geometry_from_registry;confirmed_registry_match;;
51;Улица Зарянова;10002554;Улица Зарянова;exact;geometry_from_registry;confirmed_registry_match;;
52;Дегунинский проезд;10002242;Дегунинский проезд;exact;geometry_from_registry;confirmed_registry_match;;
53;Площадка у платформы «Бескудниково» и пешеходная дорожка к Керамическому проезду;;;no_match;location_marker;"Ориентир МЦД Бескудниково; точечный маркер, не граница ОДХ или ТПУ.";37.568;55.8817
54;Транспортно-пересадочный узел (ТПУ) у станции метро «Водный стадион» (Площадь у станции метро «Водный стадион»);10002414;Транспортно-пересадочный узел (ТПУ) у станции метро «Водный стадион» (Площадь у станции метро «Водный стадион»);exact;geometry_from_registry;confirmed_registry_match;;
55;ТПУ «Моссельмаш» (Головинский район);314890525;ТПУ «Моссельмаш» (Головинский район);exact;geometry_from_registry;confirmed_registry_match;;
56;Проезд от Коровинского шоссе и разворотный круг у ТЭЦ-21;10002501;Проезд от Коровинского шоссе и разворотный круг у ТЭЦ-21;exact;geometry_from_registry;confirmed_registry_match;;
57;Автобусный круг у пл. «Ховрино»;10002300;Автобусный круг у пл. «Ховрино»;exact;geometry_from_registry;confirmed_registry_match;;
58;ТПУ «МОССЕЛЬМАШ» района Западное Дегунино;10002299;ТПУ «МОССЕЛЬМАШ» района Западное Дегунино;exact;geometry_from_registry;confirmed_registry_match;;
59;Верхнелихоборская улица;10002210;Верхнелихоборская улица;exact;geometry_from_registry;confirmed_registry_match;;
60;Дегунинская улица;10002241;Дегунинская улица;exact;geometry_from_registry;confirmed_registry_match;;
61;Базовская улица;10002185;Базовская улица;exact;geometry_from_registry;confirmed_registry_match;;
62;улица Ивана Сусанина;754384317;улица Ивана Сусанина;exact;geometry_from_registry;confirmed_registry_match;;
63;Коптевская улица;10002285;Коптевская улица;exact;geometry_from_registry;confirmed_registry_match;;
64;Коптевский бульвар;10002288;Коптевский бульвар;exact;geometry_from_registry;confirmed_registry_match;;
65;Приорова ул.;10002550;Приорова ул.;exact;geometry_from_registry;confirmed_registry_match;;
66;8-й Новоподмосковный переулок;10002367;8-й Новоподмосковный переулок;exact;geometry_from_registry;confirmed_registry_match;;
67;бульвар Матроса Железняка;10002342;Бульвар Матроса Железняка;exact;geometry_from_registry;confirmed_registry_match;;
68;ТПУ Речной вокзал Жилищник Левобережный;;;no_match;location_marker;"Ориентир у станции метро «Речной вокзал»; точечный маркер, не граница ТПУ.";37.476812;55.8548129
69;Территория у ст.м. «Беломорская»;751086786;Территория у ст.м. «Беломорская»;exact;geometry_from_registry;confirmed_registry_match;;
73;Старый Петровско-Разумовский проезд;10002386;Старый Петровско-Разумовский проезд;exact;geometry_from_registry;confirmed_registry_match;;
74;2-я Хуторская улица;10002624;2-я Хуторская улица;exact;geometry_from_registry;confirmed_registry_match;;
75;Вятская улица;10002232;Вятская улица;exact;geometry_from_registry;confirmed_registry_match;;
76;2-я Квесисская улица;10002275;2-я Квесисская улица;exact;geometry_from_registry;confirmed_registry_match;;
77;2-я Песчаная улица;10002397;2-я Песчаная улица;exact;geometry_from_registry;confirmed_registry_match;;
78;Новопесчаная улица;10002359;Новопесчаная улица;exact;geometry_from_registry;confirmed_registry_match;;
79;Проезд от Ленинградского шоссе к университету Синергия (Ленинградский просп., 80Г);10002459;Проезд от Ленинградского шоссе к университету Синергия (Ленинградский просп., 80Г);exact;geometry_from_registry;confirmed_registry_match;;
80;Разворотный круг троллейбусов у метро «Сокол»;754431382;Разворотный круг троллейбусов у метро «Сокол»;exact;geometry_from_registry;confirmed_registry_match;;
81;Улица Константина Царева;10002629;Улица Константина Царева;exact;geometry_from_registry;confirmed_registry_match;;
82;Песчаная улица;10002395;Песчаная улица;exact;geometry_from_registry;confirmed_registry_match;;
83;улица Сальвадора Альенде;10002399;улица Сальвадора Альенде;exact;geometry_from_registry;confirmed_registry_match;;
84;Чапаевский переулок;10002633;Чапаевский переулок;exact;geometry_from_registry;confirmed_registry_match;;
85;Территория перед ст.метро «Петровско-Разумовская»;10002604;Территория перед ст.метро «Петровско-Разумовская»;exact;geometry_from_registry;confirmed_registry_match;;
86;Подъезд к префектуре (Тимирязевская ул., д. 27);10002434;Подъезд к префектуре (Тимирязевская ул., д. 27);exact;geometry_from_registry;confirmed_registry_match;;
87;ТПУ Окружная;1017816137;ТПУ Окружная;exact;geometry_from_registry;confirmed_registry_match;;
88;Проезд от улицы Лавочкина к дому 23А;749196409;Проезд от улицы Лавочкина к дому 23А;exact;geometry_from_registry;confirmed_registry_match;;
89;Клинская улица;10002278;Клинская улица;exact;geometry_from_registry;confirmed_registry_match;;
90;улица Ляпидевского;10002324;улица Ляпидевского;exact;geometry_from_registry;confirmed_registry_match;;
91;ТПУ ЦСКА;;;no_match;location_marker;"Ориентир у станции метро «ЦСКА»; точечный маркер, не граница ТПУ.";37.5379;55.787
92;ТПУ «Аэропорт» (Хорошевский район);314902859;ТПУ «Аэропорт» (Хорошевский район);exact;geometry_from_registry;confirmed_registry_match;;
93;Территория у станции метро Хорошевская;811643235;Территория у станции метро Хорошевская;exact;geometry_from_registry;confirmed_registry_match;;
94;ТПУ «Хорошево» (парковка);701406660;ТПУ «Хорошево»;fuzzy;geometry_from_registry;manual_review_required;;
95;Веры Волошиной улица;10002540;Веры Волошиной улица;exact;geometry_from_registry;confirmed_registry_match;;
96;2-й Хорошевский проезд;10002619;2-й Хорошевский проезд;exact;geometry_from_registry;confirmed_registry_match;;
97;Проектируемый проезд №6368;10002664;Проектируемый проезд №6368;exact;geometry_from_registry;confirmed_registry_match;;
98;4-й Ходынский проезд;10002556;4-й Ходынский проезд;exact;geometry_from_registry;confirmed_registry_match;;
99;Магистральный переулок;10002329;Магистральный переулок;exact;geometry_from_registry;confirmed_registry_match;;
100;1-й Магистральный тупик;10002332;1-й Магистральный тупик;exact;geometry_from_registry;confirmed_registry_match;;
