source_name;registry_name;match_method;similarity;review_status;note
Коровинское шоссе;Коровинское шоссе;exact;1.0;confirmed;Подтверждено совпадение в реестре.
ТПУ «Беговая»;ТПУ Беговая АВД САО;fuzzy;0.733;manual_review;Нужна ручная проверка наименования.
Хорошевское шоссе;Хорошевское шоссе;exact;1.0;confirmed;Подтверждено совпадение в реестре.
1-я Магистральная улица;1-я Магистральная улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Бескудниковский бульвар;Бескудниковский бульвар;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Кронштадтский бульвар;Кронштадтский бульвар;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Михалковская улица;Михалковская улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Михалковский путепровод;Михалковский путепровод;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Онежская улица;Онежская улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Петровский парк;Петровский парк;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Планетная улица;Планетная улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Пр-д под Краснопресненским п/п;Пр-д под Краснопресненским п/п;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Путепровод через Дмитровское шоссе;Путепровод через Дмитровское шоссе;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Смольная улица;Смольная улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Талдомская улица;Талдомская улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Тимирязевская улица;Тимирязевская улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
улица Авиаконструктора Микояна;улица Авиаконструктора Микояна;exact;1.0;confirmed;Подтверждено совпадение в реестре.
улица Авиаконструктора Сухого;улица Авиаконструктора Сухого;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Поликарпова улица;Поликарпова улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
улица Софьи Ковалевской;улица Софьи Ковалевской;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Фестивальная улица;Фестивальная улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Флотская улица;Флотская улица;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Библиотечный проезд;Библиотечный проезд;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Бусиновский проезд (развязка МКАД 79 км);Бусиновский проезд (развязка МКАД 79 км);exact;1.0;confirmed;Подтверждено совпадение в реестре.
ТПУ Балтийская АвД САО;ТПУ Балтийская АвД САО;exact;1.0;confirmed;Подтверждено совпадение в реестре.
ТПУ Речной вокзал АвД САО;ТПУ Речной вокзал АвД САО;exact;1.0;confirmed;Подтверждено совпадение в реестре.
ТПУ Ховрино АВД САО;ТПУ Ховрино АВД САО;exact;1.0;confirmed;Подтверждено совпадение в реестре.
Театральная аллея;Театральная аллея;exact;1.0;confirmed;Подтверждено совпадение в реестре.
ТПУ «Аэропорт» (район Аэропорт);ТПУ «Аэропорт» (район Аэропорт);exact;1.0;confirmed;Подтверждено совпадение в реестре.
улица Серегина;улица Серегина;exact;1.0;confirmed;Подтверждено совпадение в реестре.
