id;name;category;status;area_m2;registry_id;wave;geometry_type
10002168;Авангардная улица;4 категория;Утвержден;19881.78;133084850200001;?;Polygon
10002170;Авиационный переулок;4 категория;Утвержден;7641.122;132953222900001;?;Polygon
10002171;Автомоторная улица;3 категория;Утвержден;30971.12;133349705700001;?;Polygon
10002171;Автомоторная улица;3 категория;Утвержден;30971.12;133349705700001;?;Polygon
10002173;Академический проезд;4 категория;Утвержден;7727.07;132074896500001;?;Polygon
10002175;Амбулаторный переулок;4 категория;Утвержден;4207.27;132569731500001;?;Polygon
10002178;Ангарская улица;2 категория;Утвержден;49138.7;111700705200001;?;Polygon
10002178;Ангарская улица;2 категория;Утвержден;49138.7;111700705200001;?;Polygon
10002180;Астрадамская улица;4 категория;Утвержден;8095.6;132074895700001;?;Polygon
10002180;Астрадамская улица;4 категория;Утвержден;8095.6;132074895700001;?;Polygon
10002181;Астрадамский проезд;4 категория;Утвержден;8339.5069;124813587500001;?;Polygon
10002182;Проезд Аэропорта;4 категория;Утвержден;8584.22;132074870100001;?;Polygon
10002183;1-я Аэропортовская улица;4 категория;Утвержден;5543.5809;132061852100001;?;Polygon
10002184;2-я Аэропортовская улица;4 категория;Утвержден;4611.2285;92327714500001;?;Polygon
10002187;1-й Балтийский переулок;4 категория;Утвержден;5261.8045;124931801400001;?;Polygon
10002188;2-й Балтийский переулок;4 категория;Утвержден;5963.36;133129859600001;?;Polygon
10002189;3-й Балтийский переулок;4 категория;Утвержден;5811.98;127726730300001;?;Polygon
10002190;Башиловская улица;2 категория;Утвержден;38520.45;127459250000001;?;Polygon
10002191;1-я улица Бебеля;4 категория;Утвержден;5082.13;132074900900001;?;Polygon
10002191;1-я улица Бебеля;4 категория;Утвержден;5082.13;132074900900001;?;Polygon
10002192;2-я улица Бебеля;4 категория;Утвержден;2830.4283;132074901700001;?;Polygon
10002195;Беговой проезд;4 категория;Утвержден;4957.11;130692709700001;?;Polygon
10002196;Проезд от Прибрежного проезда до МКАД;4 категория;Утвержден;2458.84;128342684700001;?;Polygon
10002197;Беломорская улица;2 категория;Утвержден;23798.74;127703197900001;?;Polygon
10002200;Бескудниковский проезд;4 категория;Утвержден;14919.64;132062068100001;?;Polygon
10002202;Большая Алексеевская улица;4 категория;Утвержден;1988.97;91555294300001;?;Polygon
10002205;Зои Воскресенской улица (Боткинский проезд);3 категория;Утвержден;5377.36;130692706900001;?;Polygon
10002206;Улица Брюллова;4 категория;Утвержден;1305.3548;129598970400001;?;Polygon
10002207;Бумажный проезд;4 категория;Утвержден;13770.01;130692709900001;?;Polygon
10002208;Бурцевская улица;5 категория;Утвержден;6447.96;113888133800001;?;Polygon
10002211;Вагоноремонтная улица;2 категория;Утвержден;41108.65;109350581000001;?;Polygon
10002213;улица Венецианова;4 категория;Утвержден;241.35;129599101100001;?;Polygon
10002214;Улица Верещагина;4 категория;Утвержден;1773.36;129600459000001;?;Polygon
10002215;Верхняя аллея;4 категория;Утвержден;19981.2;124877417200001;?;Polygon
10002216;Верхняя улица;4 категория;Утвержден;7877.4;130692710300001;?;Polygon
10002217;Весенняя улица;4 категория;Утвержден;14547.32;132074865900001;?;Polygon
10002217;Весенняя улица;4 категория;Утвержден;14547.32;132074865900001;?;Polygon
10002218;улица Викторенко;4 категория;Утвержден;12754.22;132074867900001;?;Polygon
10002219;Улица Всеволода Вишневского;4 категория;Утвержден;14259.26;125054953000001;?;Polygon
10002219;Улица Всеволода Вишневского;4 категория;Утвержден;14259.26;125054953000001;?;Polygon
10002220;улица Войкова;4 категория;Утвержден;4006.15;107265032400001;?;Polygon
10002220;улица Войкова;4 категория;Утвержден;4006.15;107265032400001;?;Polygon
10002222;2-й Войковский проезд;4 категория;Утвержден;4808.17;130692723700001;?;Polygon
10002223;3-й Войковский проезд;4 категория;Утвержден;3837.56;130692724700001;?;Polygon
10002223;3-й Войковский проезд;4 категория;Утвержден;3837.56;130692724700001;?;Polygon
10002224;4-й Войковский проезд;4 категория;Утвержден;5636.9;130692725500001;?;Polygon
10002226;Вокзальный переулок;4 категория;Утвержден;7761.31;130692727300001;?;Polygon
10002228;Улица Врубеля;4 категория;Утвержден;11761.76;130692770800001;?;Polygon
10002229;улица Самеда Вургуна;4 категория;Утвержден;5497.9;124937602600001;?;Polygon
10002231;Выборгская улица;4 категория;Утвержден;21984.69;131170906800001;?;Polygon
10002231;Выборгская улица;4 категория;Утвержден;21984.69;131170906800001;?;Polygon
10002231;Выборгская улица;4 категория;Утвержден;21984.69;131170906800001;?;Polygon
10002231;Выборгская улица;4 категория;Утвержден;21984.69;131170906800001;?;Polygon
10002233;4-й Вятский переулок;4 категория;Утвержден;19764.53;127232326800001;?;Polygon
10002233;4-й Вятский переулок;4 категория;Утвержден;19764.53;127232326800001;?;Polygon
10002233;4-й Вятский переулок;4 категория;Утвержден;19764.53;127232326800001;?;Polygon
10002233;4-й Вятский переулок;4 категория;Утвержден;19764.53;127232326800001;?;Polygon
10002233;4-й Вятский переулок;4 категория;Утвержден;19764.53;127232326800001;?;Polygon
10002234;Гатчинская улица;5 категория;Утвержден;2034.69;128748428000001;?;Polygon
10002234;Гатчинская улица;5 категория;Утвержден;2034.69;128748428000001;?;Polygon
10002235;Головановский переулок;4 категория;Утвержден;6334.0279;124931803200001;?;Polygon
10002235;Головановский переулок;4 категория;Утвержден;6334.0279;124931803200001;?;Polygon
10002236;Головинское шоссе;3 категория;Утвержден;39645.84;125347926000001;?;Polygon
10002237;улица Гризодубовой;3 категория;Утвержден;33148.8145;118169258700001;?;Polygon
10002238;Левая Дворцовая аллея;4 категория;Утвержден;3313.61;133367590200001;?;Polygon
10002239;Правая Дворцовая аллея;4 категория;Утвержден;5077.9;133540863500001;?;Polygon
10002240;Дворцовая аллея;4 категория;Утвержден;4755.09;133531897400001;?;Polygon
10002243;Дмитровский проезд;3 категория;Утвержден;27445.18;124928671600001;?;Polygon
10002243;Дмитровский проезд;3 категория;Утвержден;27445.18;124928671600001;?;Polygon
10002243;Дмитровский проезд;3 категория;Утвержден;27445.18;124928671600001;?;Polygon
10002243;Дмитровский проезд;3 категория;Утвержден;27445.18;124928671600001;?;Polygon
10002243;Дмитровский проезд;3 категория;Утвержден;27445.18;124928671600001;?;Polygon
10002245;Долгопрудная улица;2 категория;Утвержден;6045.82;129657911300001;?;Polygon
10002246;Дорожка от ст.»Лианозово»до Дубнинской ул.,46;4 категория;Утвержден;728.4;120043986900001;?;Polygon
10002249;Пешеходная дорожка от Зеленоградской улицы до платформы Ховрино;4 категория;Утвержден;987.94;129600266600001;?;Polygon
10002250;Проезд от ул. Ивана Сусанина 4к.1 до Дегунинского пруда;5 категория;Утвержден;1705.0491;97433514600001;?;Polygon
10002251;Проезд от ул. Маршала Федоренко до ул.Бусиновская Горка, вл1;5 категория;Утвержден;2770.05;132074877100001;?;Polygon
10002255;Улица Дубки;4 категория;Утвержден;3944.63;129599176700001;?;Polygon
10002257;Дубнинская улица (от Дмитровского шоссе);3 категория;Утвержден;8205.78;114571701100001;?;Polygon
10002258;Вербилковский проезд;4 категория;Утвержден;16497.4;133382708800001;?;Polygon
10002259;Дубосековская улица;4 категория;Утвержден;9959.01;130692764400001;?;Polygon
10002260;улица Дыбенко;3 категория;Утвержден;41652.13;123329352100001;?;Polygon
10002263;Зеленоградская улица;3 категория;Утвержден;64630.34;133602790700001;?;Polygon
10002263;Зеленоградская улица;3 категория;Утвержден;64630.34;133602790700001;?;Polygon
10002264;улица Зорге;3 категория;Утвержден;44355.58;124955574800001;?;Polygon
10002265;Новый Зыковский проезд;4 категория;Утвержден;4873.64;133531535700001;?;Polygon
10002266;Старый Зыковский проезд;4 категория;Утвержден;8404.3486;132061481300001;?;Polygon
10002267;Ивановская улица;4 категория;Утвержден;17769.07;132953266300001;?;Polygon
10002267;Ивановская улица;4 категория;Утвержден;17769.07;132953266300001;?;Polygon
10002268;Ивановский проезд;4 категория;Утвержден;6123.0846;105509496000001;?;Polygon
10002270;Икшинская улица;2 категория;Утвержден;5430.7;111371854100001;?;Polygon
10002271;Ильменский проезд;4 категория;Утвержден;20679.04;123336591900001;?;Polygon
10002272;улица Академика Ильюшина;4 категория;Утвержден;16441.87;133138592700001;?;Polygon
10002272;улица Академика Ильюшина;4 категория;Утвержден;16441.87;133138592700001;?;Polygon
10002273;Карельский бульвар;3 категория;Утвержден;22675.25;123344516900001;?;Polygon
10002274;1-я Квесисская улица;4 категория;Утвержден;9529.16;132074900500001;?;Polygon
10002274;1-я Квесисская улица;4 категория;Утвержден;9529.16;132074900500001;?;Polygon
10002274;1-я Квесисская улица;4 категория;Утвержден;9529.16;132074900500001;?;Polygon
10002274;1-я Квесисская улица;4 категория;Утвержден;9529.16;132074900500001;?;Polygon
10002277;улица Кипренского;4 категория;Утвержден;2933.46;129599497900001;?;Polygon
10002277;улица Кипренского;4 категория;Утвержден;2933.46;129599497900001;?;Polygon
10002279;Клязьминская улица;3 категория;Утвержден;40547.96;123349710100001;?;Polygon
10002281;улица Коккинаки;4 категория;Утвержден;7569.19;124937600400001;?;Polygon
10002281;улица Коккинаки;4 категория;Утвержден;7569.19;124937600400001;?;Polygon
10002282;Коленчатый переулок;4 категория;Утвержден;3393.84;132074901500001;?;Polygon
10002282;Коленчатый переулок;4 категория;Утвержден;3393.84;132074901500001;?;Polygon
10002283;Колпинская улица;5 категория;Утвержден;5510.69;133105477100001;?;Polygon
10002284;Конаковский проезд;4 категория;Утвержден;13102.52;125325141300001;?;Polygon
10002284;Конаковский проезд;4 категория;Утвержден;13102.52;125325141300001;?;Polygon
10002286;Большой Коптевский проезд;4 категория;Утвержден;8114.63;120669139300001;?;Polygon
10002287;Малый Коптевский проезд;4 категория;Утвержден;2486.6333;102303369400001;?;Polygon
10002289;Коровинский проезд;4 категория;Утвержден;7704.5;132062197900001;?;Polygon
10002291;Улица Костякова;3 категория;Утвержден;28873.82;127816745400001;?;Polygon
10002292;Кочновский проезд;4 категория;Утвержден;7452.09;124931803400001;?;Polygon
10002293;улица Крамского;4 категория;Утвержден;185.77;129599574600001;?;Polygon
10002294;Красноармейская улица;2 категория;Утвержден;30956.66;120788647000001;?;Polygon
10002295;1-й Красноармейский переулок;4 категория;Утвержден;4635.9289;124931801600001;?;Polygon
10002297;Красностуденческий проезд;4 категория;Утвержден;26859.55;127070637600001;?;Polygon
10002301;Улица Куусинена;2 категория;Утвержден;72464.5875;95224655400001;?;Polygon
10002302;улица Лавочкина;4 категория;Утвержден;7896.7;132953606300001;?;Polygon
10002303;улица Левитана;4 категория;Утвержден;7069.4032;130692771200001;?;Polygon
10002304;Левобережная улица;4 категория;Утвержден;17111.98;125148214200001;?;Polygon
10002305;Летняя аллея;4 категория;Утвержден;3549.41;132572993000001;?;Polygon
10002306;Линейный проезд;4 категория;Утвержден;8414.43;132074895500001;?;Polygon
10002306;Линейный проезд;4 категория;Утвержден;8414.43;132074895500001;?;Polygon
10002307;улица Линии Октябрьской Железной Дороги;4 категория;Утвержден;28064.62;132074890100001;?;Polygon
10002307;улица Линии Октябрьской Железной Дороги;4 категория;Утвержден;28064.62;132074890100001;?;Polygon
10002308;Липовая аллея;4 категория;Утвержден;3857.4;124931803600001;?;Polygon
10002309;Лиственничная аллея;3 категория;Утвержден;18989.63;132074892300001;?;Polygon
10002310;1-й Лихачёвский переулок;4 категория;Утвержден;2852.51;108691721700001;?;Polygon
10002311;2-й Лихачевский переулок;4 категория;Утвержден;26974.58;132074854100001;?;Polygon
10002312;3-й Лихачевский переулок;4 категория;Утвержден;20541.49;132953611700001;?;Polygon
10002312;3-й Лихачевский переулок;4 категория;Утвержден;20541.49;132953611700001;?;Polygon
10002316;Лихоборская набережная от Онежской улицы до 4-го Лихачевского переулка;4 категория;Утвержден;22451.59;127154445300001;?;Polygon
10002316;Лихоборская набережная от Онежской улицы до 4-го Лихачевского переулка;4 категория;Утвержден;22451.59;127154445300001;?;Polygon
10002318;1-й Нижнелихоборский проезд;4 категория;Утвержден;12685.58;132074893900001;?;Polygon
10002320;Лобненская улица;2 категория;Утвержден;46070.27;112429871300001;?;Polygon
10002320;Лобненская улица;2 категория;Утвержден;46070.27;112429871300001;?;Polygon
10002320;Лобненская улица;2 категория;Утвержден;46070.27;112429871300001;?;Polygon
10002321;Локомотивный проезд;4 категория;Утвержден;34631.3;132074890500001;?;Polygon
10002322;Локомотивный проезд от ЛОЖД до границ Восточного Дегунино;5 категория;Утвержден;3958.95;132070807600001;?;Polygon
10002322;Локомотивный проезд от ЛОЖД до границ Восточного Дегунино;5 категория;Утвержден;3958.95;132070807600001;?;Polygon
10002322;Локомотивный проезд от ЛОЖД до границ Восточного Дегунино;5 категория;Утвержден;3958.95;132070807600001;?;Polygon
10002323;Лужская улица;5 категория;Утвержден;6090.86;123725144400001;?;Polygon
10002323;Лужская улица;5 категория;Утвержден;6090.86;123725144400001;?;Polygon
10002326;3-я Магистральная улица (от 4-й Магистральной);4 категория;Утвержден;4846.29;132074877300001;?;Polygon
10002327;4-я Магистральная улица;2 категория;Утвержден;26257.44;129271641200001;?;Polygon
10002328;5-я Магистральная улица;2 категория;Утвержден;17647.69;112435197000001;?;Polygon
10002328;5-я Магистральная улица;2 категория;Утвержден;17647.69;112435197000001;?;Polygon
10002330;1-й Магистральный проезд;4 категория;Утвержден;7683.53;132074872900001;?;Polygon
10002331;2-й Магистральный проезд;4 категория;Утвержден;12392.31;132074868500001;?;Polygon
10002333;2-й Магистральный тупик;4 категория;Утвержден;7747.53;132074872300001;?;Polygon
10002334;улица Адмирала Макарова;4 категория;Утвержден;37353.73;130692735900001;?;Polygon
10002336;1-я улица 8 Марта;4 категория;Утвержден;8967.45;124931801800001;?;Polygon
10002336;1-я улица 8 Марта;4 категория;Утвержден;8967.45;124931801800001;?;Polygon
10002337;4-я улица 8 Марта;4 категория;Утвержден;5265.97;132785916200001;?;Polygon
10002338;улица Верхняя Масловка;2 категория;Утвержден;26832.58;127067309400001;?;Polygon
10002339;1-й Нижнемасловский переулок;4 категория;Утвержден;1535.47;132074903300001;?;Polygon
10002340;2-й Нижнемасловский переулок;4 категория;Утвержден;5842.47;132074900700001;?;Polygon
10002340;2-й Нижнемасловский переулок;4 категория;Утвержден;5842.47;132074900700001;?;Polygon
10002340;2-й Нижнемасловский переулок;4 категория;Утвержден;5842.47;132074900700001;?;Polygon
10002343;Мелькисаровская улица;5 категория;Утвержден;3833.12;126140101600001;?;Polygon
10002344;Местный проезд у издательства «Красная звезда»;4 категория;Утвержден;5989.86;132074874800001;?;Polygon
10002345;Милицейский переулок;4 категория;Утвержден;4586.33;127126643600001;?;Polygon
10002346;Мирской переулок;4 категория;Утвержден;10699.15;123346749900001;?;Polygon
10002346;Мирской переулок;4 категория;Утвержден;10699.15;123346749900001;?;Polygon
10002349;3-й Михалковский переулок;4 категория;Утвержден;12976.56;131337098000001;?;Polygon
10002349;3-й Михалковский переулок;4 категория;Утвержден;12976.56;131337098000001;?;Polygon
10002349;3-й Михалковский переулок;4 категория;Утвержден;12976.56;131337098000001;?;Polygon
10002349;3-й Михалковский переулок;4 категория;Утвержден;12976.56;131337098000001;?;Polygon
10002350;Мишин проезд;4 категория;Утвержден;1163.28;132074904200001;?;Polygon
10002351;Мишина улица;4 категория;Утвержден;13926.24;123347207900001;?;Polygon
10002351;Мишина улица;4 категория;Утвержден;13926.24;123347207900001;?;Polygon
10002352;Молжаниновская улица;5 категория;Утвержден;8158.82;125225919900001;?;Polygon
10002352;Молжаниновская улица;5 категория;Утвержден;8158.82;125225919900001;?;Polygon
10002352;Молжаниновская улица;5 категория;Утвержден;8158.82;125225919900001;?;Polygon
10002353;улица 800-летия Москвы;2 категория;Утвержден;49820.07;104799850800001;?;Polygon
10002353;улица 800-летия Москвы;2 категория;Утвержден;49820.07;104799850800001;?;Polygon
10002353;улица 800-летия Москвы;2 категория;Утвержден;49820.07;104799850800001;?;Polygon
10002354;Московская аллея;4 категория;Утвержден;18398.6757;124931803800001;?;Polygon
10002355;Новомихалковский 1-й проезд;4 категория;Утвержден;4451.03;110579146600001;?;Polygon
10002356;3-й Новомихалковский проезд;4 категория;Утвержден;17678.1;131518046500001;?;Polygon
10002357;Новомихалковский 4-й проезд;4 категория;Утвержден;16330.62;130692753300001;?;Polygon
10002357;Новомихалковский 4-й проезд;4 категория;Утвержден;16330.62;130692753300001;?;Polygon
10002360;Новопетровская улица;4 категория;Утвержден;13798.0;131598512600001;?;Polygon
10002360;Новопетровская улица;4 категория;Утвержден;13798.0;131598512600001;?;Polygon
10002361;1-й Новоподмосковный переулок;4 категория;Утвержден;6945.96;130692722900001;?;Polygon
10002362;2-й Новоподмосковный переулок;4 категория;Утвержден;10620.45;130692723900001;?;Polygon
10002363;3-й Новоподмосковный переулок;4 категория;Утвержден;4123.97;133138593700001;?;Polygon
10002364;4-й Новоподмосковный переулок;4 категория;Утвержден;7068.8;130692725700001;?;Polygon
10002365;5-й Новоподмосковный переулок;4 категория;Утвержден;5487.37;130692726700001;?;Polygon
10002366;6-й Новоподмосковный переулок;4 категория;Утвержден;8822.45;130692727100001;?;Polygon
10002368;Нарвская улица (Головинский район);4 категория;Утвержден;15408.24;125324051500001;?;Polygon
10002369;Улица Новая Ипатовка;4 категория;Утвержден;14247.4;130692755700001;?;Polygon
10002370;Проезд от ул. Правды до ул. Правды д. 1-2 (Наркомфиновский переулок);4 категория;Утвержден;2605.48;130692713700001;?;Polygon
10002371;Нарышкинская аллея;4 категория;Утвержден;4477.16;127140682800001;?;Polygon
10002372;ул. Немчинова;4 категория;Утвержден;6777.77;132074897300001;?;Polygon
10002372;ул. Немчинова;4 категория;Утвержден;6777.77;132074897300001;?;Polygon
10002373;Улица Пилота Нестерова;4 категория;Утвержден;5948.37;132061851300001;?;Polygon
10002373;Улица Пилота Нестерова;4 категория;Утвержден;5948.37;132061851300001;?;Polygon
10002375;улица НИКФИ;4 категория;Утвержден;3122.83;125043957500001;?;Polygon
10002376;1-я улица Новосёлки;4 категория;Утвержден;4147.73;125147620000001;?;Polygon
10002377;2-я улица Новосёлки;5 категория;Утвержден;2005.54;113887419900001;?;Polygon
10002377;2-я улица Новосёлки;5 категория;Утвержден;2005.54;113887419900001;?;Polygon
10002378;3-я улица Новосёлки;5 категория;Утвержден;1510.3;125038165200001;?;Polygon
10002379;4-я улица Новосёлки;5 категория;Утвержден;1004.97;113887980200001;?;Polygon
10002380;Новосходненское шоссе;3 категория;Утвержден;67467.06;132559165500001;?;Polygon
10002382;Улица Острякова;4 категория;Утвержден;7274.36;132074873700001;?;Polygon
10002383;Охтинская улица;5 категория;Утвержден;6412.13;113896417000001;?;Polygon
10002383;Охтинская улица;5 категория;Утвержден;6412.13;113896417000001;?;Polygon
10002384;Охтинский проезд;5 категория;Утвержден;1634.68;125094370300001;?;Polygon
10002385;Петровско-Разумовская аллея;4 категория;Утвержден;23697.47;98684233300001;?;Polygon
10002387;Петровско-Разумовский пр.;2 категория;Утвержден;34079.8471;94135992400001;?;Polygon
10002389;Противопожарные проезды по Лужской улице;5 категория;Утвержден;3176.3276;113894491300001;?;Polygon
10002391;Пакгаузное шоссе;4 категория;Утвержден;8542.23;133332823300001;?;Polygon
10002393;Пасечная улица;4 категория;Утвержден;9591.82;131882883200001;?;Polygon
10002394;Песчаная площадь;3 категория;Утвержден;5594.65;131247305300001;?;Polygon
10002396;улица Луиджи Лонго;4 категория;Утвержден;6100.003;130692771400001;?;Polygon
10002398;3-я Песчаная улица;3 категория;Утвержден;27910.35;131264737900001;?;Polygon
10002398;3-я Песчаная улица;3 категория;Утвержден;27910.35;131264737900001;?;Polygon
10002400;Малый Песчаный переулок;4 категория;Утвержден;8182.11;131462951200001;?;Polygon
10002401;Песчаный переулок;4 категория;Утвержден;9908.86;131539082100001;?;Polygon
10002402;Петрозаводская улица;3 категория;Утвержден;33485.75;126886796300001;?;Polygon
10002404;Писцовая улица;4 категория;Утвержден;12325.28;125054918600001;?;Polygon
10002404;Писцовая улица;4 категория;Утвержден;12325.28;125054918600001;?;Polygon
10002404;Писцовая улица;4 категория;Утвержден;12325.28;125054918600001;?;Polygon
10002405;Проезд от Дмитровского шоссе до Селигерской улицы до д.18к.1;4 категория;Утвержден;8553.0715;124944608400001;?;Polygon
10002405;Проезд от Дмитровского шоссе до Селигерской улицы до д.18к.1;4 категория;Утвержден;8553.0715;124944608400001;?;Polygon
