№ в АО;Название в списке;Метод;Похожесть;Найдено в реестре;ID реестра;Категория;Статус
1;Коровинское шоссе;exact;1.0;Коровинское шоссе;10002290;1 категория;Утвержден
2;ТПУ «Беговая»;fuzzy;0.733;ТПУ Беговая АВД САО;314892354;9 категория;Утвержден
3;Хорошевское шоссе;exact;1.0;Хорошевское шоссе;10002622;1 категория;Утвержден
4;1-я Магистральная улица;exact;1.0;1-я Магистральная улица;10002325;2 категория;Утвержден
5;Бескудниковский бульвар;exact;1.0;Бескудниковский бульвар;10002198;2 категория;Утвержден
6;Кронштадтский бульвар;exact;1.0;Кронштадтский бульвар;10002298;2 категория;Утвержден
7;Михалковская улица;exact;1.0;Михалковская улица;10002347;3 категория;Утвержден
8;Михалковский путепровод;exact;1.0;Михалковский путепровод;10002348;2 категория;Утвержден
9;Онежская улица;exact;1.0;Онежская улица;10002381;2 категория;Утвержден
10;Петровский парк;exact;1.0;Петровский парк;10002406;2 категория;Утвержден
11;Планетная улица;exact;1.0;Планетная улица;10002411;2 категория;Утвержден
12;Пр-д под Краснопресненским п/п;exact;1.0;Пр-д под Краснопресненским п/п;10002448;2 категория;Утвержден
13;Путепровод через Дмитровское шоссе;exact;1.0;Путепровод через Дмитровское шоссе;10002650;2 категория;Утвержден
14;Смольная улица;exact;1.0;Смольная улица;10002587;2 категория;Утвержден
15;Талдомская улица;exact;1.0;Талдомская улица;10002601;2 категория;Утвержден
16;Тимирязевская улица;exact;1.0;Тимирязевская улица;10002605;2 категория;Утвержден
17;улица Авиаконструктора Микояна;exact;1.0;улица Авиаконструктора Микояна;10002169;2 категория;Утвержден
18;улица Авиаконструктора Сухого;exact;1.0;улица Авиаконструктора Сухого;10002667;2 категория;Утвержден
19;Поликарпова улица;exact;1.0;Поликарпова улица;10002438;2 категория;Утвержден
20;улица Софьи Ковалевской;exact;1.0;улица Софьи Ковалевской;10002280;2 категория;Утвержден
21;Фестивальная улица;exact;1.0;Фестивальная улица;10002614;2 категория;Утвержден
22;Флотская улица;exact;1.0;Флотская улица;10002615;3 категория;Утвержден
23;Библиотечный проезд;exact;1.0;Библиотечный проезд;10002201;2 категория;Утвержден
24;Бусиновский проезд (развязка МКАД 79 км);exact;1.0;Бусиновский проезд (развязка МКАД 79 км);10002462;6 категория;Утвержден
25;ТПУ Балтийская АвД САО;exact;1.0;ТПУ Балтийская АвД САО;666849395;9 категория;Утвержден
26;ТПУ Речной вокзал АвД САО;exact;1.0;ТПУ Речной вокзал АвД САО;757159046;9 категория;Утвержден
27;ТПУ Ховрино АВД САО;exact;1.0;ТПУ Ховрино АВД САО;800905601;9 категория;Утвержден
28;Театральная аллея;exact;1.0;Театральная аллея;10002602;3 категория;Утвержден
29;ТПУ «Аэропорт» (район Аэропорт);exact;1.0;ТПУ «Аэропорт» (район Аэропорт);314903749;4 категория;Утвержден
30;улица Серегина;exact;1.0;улица Серегина;10002577;4 категория;Утвержден
31;Ленинградский пр-т, д.76А (тыльная сторона ТЦ Метромаркет);exact;1.0;Ленинградский пр-т, д.76А (тыльная сторона ТЦ Метромаркет);12344925;4 категория;Утвержден
32;Правды ул.;exact;1.0;Правды ул.;10002546;4 категория;Утвержден
33;3-я улица Ямского Поля;exact;1.0;3-я улица Ямского Поля;10002645;4 категория;Утвержден
34;Расковой улица;exact;1.0;Расковой улица;10002568;4 категория;Утвержден
35;1-я улица Ямского поля;exact;1.0;1-я улица Ямского Поля;10002644;4 категория;Утвержден
36;Беговая аллея;exact;1.0;Беговая аллея;10002194;4 категория;Утвержден
37;1-й Боткинский проезд;exact;1.0;1-й Боткинский проезд;10002203;3 категория;Утвержден
38;2-й Боткинский проезд (Бориса Петровского);exact;1.0;2-й Боткинский проезд (Бориса Петровского);10002204;3 категория;Утвержден
39;Нижняя улица;exact;1.0;Нижняя улица;10002374;4 категория;Утвержден
40;5-я улица Ямского Поля;exact;1.0;5-я улица Ямского Поля;10002646;4 категория;Утвержден
41;Бесскудниковский переулок;fuzzy;0.98;Бескудниковский переулок;10002199;4 категория;Утвержден
42;Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183;exact;1.0;Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183;10002485;4 категория;Утвержден
43;Проезд от Бескудниковского б-ра у торгового центра до Дубнинской ул.;fuzzy;0.726;Проезд от Бескудниковского бульвара до проезда у торгового центра;10002487;4 категория;Утвержден
44;ТПУ Балтийская Жилищник Войковский;exact;1.0;ТПУ Балтийская Жилищник Войковский;12345393;9 категория;Утвержден
45;Старопетровский проезд;exact;1.0;Старопетровский проезд;10002592;4 категория;Утвержден
46;Улица Космонавта Волкова;exact;1.0;Улица Космонавта Волкова;10002227;3 категория;Утвержден
47;1-й Войковский проезд;exact;1.0;1-й Войковский проезд;10002221;4 категория;Утвержден
48;5-й Войковский проезд;exact;1.0;5-й Войковский проезд;10002225;4 категория;Утвержден
49;Дубнинская улица;exact;1.0;Дубнинская улица;10002256;3 категория;Утвержден
50;Керамический проезд;exact;1.0;Керамический проезд;753906080;4 категория;Утвержден
51;Улица Зарянова;exact;1.0;Улица Зарянова;10002554;4 категория;Утвержден
52;Дегунинский проезд;exact;1.0;Дегунинский проезд;10002242;4 категория;Утвержден
53;Площадка у платформы «Бескудниково» и пешеходная дорожка к Керамическому проезду;no_match;0.0;;;;
54;Транспортно-пересадочный узел (ТПУ) у станции метро «Водный стадион» (Площадь у станции метро «Водный стадион»);exact;1.0;Транспортно-пересадочный узел (ТПУ) у станции метро «Водный стадион» (Площадь у станции метро «Водный стадион»);10002414;3 категория;Утвержден
55;ТПУ «Моссельмаш» (Головинский район);exact;1.0;ТПУ «Моссельмаш» (Головинский район);314890525;4 категория;Утвержден
56;Проезд от Коровинского шоссе и разворотный круг у ТЭЦ-21;exact;1.0;Проезд от Коровинского шоссе и разворотный круг у ТЭЦ-21;10002501;4 категория;Утвержден
