id;name;queue;assignment_basis;source_list_name
10002168;Авангардная улица;2;остаток после 1-й и 3-й очередей;
10002170;Авиационный переулок;2;остаток после 1-й и 3-й очередей;
10002171;Автомоторная улица;2;остаток после 1-й и 3-й очередей;
10002173;Академический проезд;2;остаток после 1-й и 3-й очередей;
10002175;Амбулаторный переулок;2;остаток после 1-й и 3-й очередей;
10002178;Ангарская улица;1;точное наименование;Ангарская ул.
10002180;Астрадамская улица;2;остаток после 1-й и 3-й очередей;
10002181;Астрадамский проезд;1;точное наименование;Астрадамский пр.
10002182;Проезд Аэропорта;3;точное наименование;Проезд Аэропорта
10002183;1-я Аэропортовская улица;2;остаток после 1-й и 3-й очередей;
10002184;2-я Аэропортовская улица;2;остаток после 1-й и 3-й очередей;
10002187;1-й Балтийский переулок;2;остаток после 1-й и 3-й очередей;
10002188;2-й Балтийский переулок;2;остаток после 1-й и 3-й очередей;
10002189;3-й Балтийский переулок;2;остаток после 1-й и 3-й очередей;
10002190;Башиловская улица;2;остаток после 1-й и 3-й очередей;
10002191;1-я улица Бебеля;2;остаток после 1-й и 3-й очередей;
10002192;2-я улица Бебеля;2;остаток после 1-й и 3-й очередей;
10002195;Беговой проезд;2;остаток после 1-й и 3-й очередей;
10002196;Проезд от Прибрежного проезда до МКАД;1;сверка сокращённого наименования;Проезд от Прибрежного до МКАД
10002197;Беломорская улица;1;точное наименование;Беломорская ул.
10002200;Бескудниковский проезд;2;остаток после 1-й и 3-й очередей;
10002202;Большая Алексеевская улица;2;остаток после 1-й и 3-й очередей;
10002205;Зои Воскресенской улица (Боткинский проезд);2;остаток после 1-й и 3-й очередей;
10002206;Улица Брюллова;2;остаток после 1-й и 3-й очередей;
10002207;Бумажный проезд;2;остаток после 1-й и 3-й очередей;
10002208;Бурцевская улица;2;остаток после 1-й и 3-й очередей;
10002211;Вагоноремонтная улица;1;точное наименование;Вагоноремонтная ул.
10002213;улица Венецианова;2;остаток после 1-й и 3-й очередей;
10002214;Улица Верещагина;3;точное наименование;Улица Верещагина
10002215;Верхняя аллея;2;остаток после 1-й и 3-й очередей;
10002216;Верхняя улица;2;остаток после 1-й и 3-й очередей;
10002217;Весенняя улица;2;остаток после 1-й и 3-й очередей;
10002218;улица Викторенко;2;остаток после 1-й и 3-й очередей;
10002219;Улица Всеволода Вишневского;2;остаток после 1-й и 3-й очередей;
10002220;улица Войкова;2;остаток после 1-й и 3-й очередей;
10002222;2-й Войковский проезд;2;остаток после 1-й и 3-й очередей;
10002223;3-й Войковский проезд;2;остаток после 1-й и 3-й очередей;
10002224;4-й Войковский проезд;2;остаток после 1-й и 3-й очередей;
10002226;Вокзальный переулок;2;остаток после 1-й и 3-й очередей;
10002228;Улица Врубеля;2;остаток после 1-й и 3-й очередей;
10002229;улица Самеда Вургуна;2;остаток после 1-й и 3-й очередей;
10002231;Выборгская улица;2;остаток после 1-й и 3-й очередей;
10002233;4-й Вятский переулок;1;точное наименование;4-й Вятский пер.
10002234;Гатчинская улица;2;остаток после 1-й и 3-й очередей;
10002235;Головановский переулок;2;остаток после 1-й и 3-й очередей;
10002236;Головинское шоссе;1;точное наименование;Головинское ш.
10002237;улица Гризодубовой;2;остаток после 1-й и 3-й очередей;
10002238;Левая Дворцовая аллея;2;остаток после 1-й и 3-й очередей;
10002239;Правая Дворцовая аллея;2;остаток после 1-й и 3-й очередей;
10002240;Дворцовая аллея;2;остаток после 1-й и 3-й очередей;
10002243;Дмитровский проезд;1;точное наименование;Дмитровский пр.
10002245;Долгопрудная улица;2;остаток после 1-й и 3-й очередей;
10002246;Дорожка от ст.»Лианозово»до Дубнинской ул.,46;2;остаток после 1-й и 3-й очередей;
10002249;Пешеходная дорожка от Зеленоградской улицы до платформы Ховрино;2;остаток после 1-й и 3-й очередей;
10002250;Проезд от ул. Ивана Сусанина 4к.1 до Дегунинского пруда;2;остаток после 1-й и 3-й очередей;
10002251;Проезд от ул. Маршала Федоренко до ул.Бусиновская Горка, вл1;2;остаток после 1-й и 3-й очередей;
10002255;Улица Дубки;3;точное наименование;Улица Дубки
10002257;Дубнинская улица (от Дмитровского шоссе);2;остаток после 1-й и 3-й очередей;
10002258;Вербилковский проезд;2;остаток после 1-й и 3-й очередей;
