source_list_queue,source_list_name,matched_id,matched_name,match_mode,match_score
1,Ангарская ул.,10002178,Ангарская улица,exact,1.0
1,Полтавская ул.,10002439,Полтавская улица,exact,1.0
1,Молжаниновская ул.,10002352,Молжаниновская улица,exact,1.0
1,Лобненская ул.,,,unmatched,1.0
1,Синявинская ул.,10002584,Синявинская улица,exact,1.0
1,ул. Лавочкина (Ховрино),,,unmatched,1.0
1,Краснополянская ул.,754379531,Краснополянская улица,exact,1.0
1,Ижорская ул.,308818896,Ижорская улица,exact,1.0
1,Левобережная ул.,10002304,Левобережная улица,exact,1.0
1,Головинское ш.,10002236,Головинское шоссе,exact,1.0
1,Беломорская ул.,10002197,Беломорская улица,exact,1.0
1,Вагоноремонтная ул.,10002211,Вагоноремонтная улица,exact,1.0
1,Проектируемый пр. №6176,10002662,Проектируемый проезд № 6176,exact,1.0
1,Проезд вдоль Ленинградского ш. (Колпинская),,,unmatched,0.8
1,Клязьминская ул.,10002279,Клязьминская улица,exact,1.0
1,Развязка МКАД-77км,10002566,Развязка МКАД - 77 км,fuzzy,0.973
1,Астрадамский пр.,10002181,Астрадамский проезд,exact,1.0
1,ул. Вучетича,308821441,Улица Вучетича,exact,1.0
1,4-й Вятский пер.,10002233,4-й Вятский переулок,exact,1.0
1,Проезд от Астрадамской до Вучетича,10002480,Проезд от Астрадамской ул. до ул. Вучетича,exact,1.0
1,Дмитровский пр.,10002243,Дмитровский проезд,exact,1.0
1,Проектируемый пр. №6175,10002660,Проектируемый проезд № 6175,exact,1.0
1,Охтинская ул.,10002383,Охтинская улица,exact,1.0
1,Проезд от Левобережной до Дыбенко,10002507,Проезд от Левобережной улицы до улицы Дыбенко,fuzzy,0.889
1,ул. 800-летия Москвы,,,unmatched,1.0
1,ул. Адмирала Макарова,10002334,улица Адмирала Макарова,exact,1.0
1,ул. Дыбенко,10002260,улица Дыбенко,exact,1.0
1,Охтинский пр.,10002384,Охтинский проезд,exact,1.0
1,Улица Ген. Рычагова,10002572,Улица Генерала Рычагова,exact,1.0
1,Комсомольская ул.,10002451,Комсомольская улица,exact,1.0
1,Коровинский пр.,10002289,Коровинский проезд,exact,1.0
1,Пасечная ул.,10002393,Пасечная улица,exact,1.0
1,Солнечногорская ул.,10002589,Солнечногорская улица,exact,1.0
1,Солнечногорский пр.,10002590,Солнечногорский проезд,exact,1.0
1,переулок 800-летия Москвы,,,unmatched,1.0
1,пр. Соломенной Сторожки,10002591,проезд Соломенной Сторожки,exact,1.0
1,ул. Бусиновская Горка,754383400,улица Бусиновская Горка,exact,1.0
1,ул. Розанова,10002571,улица Розанова,exact,1.0
1,1-я Квесисская ул.,10002274,1-я Квесисская улица,exact,1.0
1,1-я ул. Новосёлки,10002376,1-я улица Новосёлки,exact,1.0
1,4-й Лихачевский пер.,753913983,4-й Лихачевский переулок,exact,1.0
1,5-я Магистральная ул.,10002328,5-я Магистральная улица,exact,1.0
1,Ижорский пр.,12345369,Ижорский проезд ( проезд от Коровинского ш. до Лобненской ул.),exact,1.0
1,Клинский пр.,10002657,Клинский проезд (Проезд вдоль больницы Химки - Ховрино),exact,1.0
1,Краснополянская вл.10 (пр. к Мясопрому),754379531,Краснополянская улица,duplicate,0.909
1,Новая ул.,754380161,Новая улица,exact,1.0
1,Проезд к промзоне Новоподрезково,10002523,Проезд от Ленинградского шоссе к промзоне Новоподрезково,fuzzy,0.75
1,Проезд от Ленингр. ш. до реки Клязьмы,10002518,Проезд от Ленинградского шоссе до реки Клязьмы,fuzzy,0.881
1,Проезд Михалковская—3-й Новомихалк.,,,unmatched,0.676
1,Проезд Петрозаводская—Зеленоградская,,,unmatched,0.781
1,Проезд от Прибрежного до МКАД,10002196,Проезд от Прибрежного проезда до МКАД,fuzzy,0.889
1,Проезд Базовская 3с1—15к11,753970186,Проезд от ул. Базовская 3с.1 до ул. Базовская 15к.11 (пр. пр. 4370),fuzzy,0.679
1,Проезд Дегунинская—Коровинское ш.,,,unmatched,0.772
1,Проезды Ленинградская—1-я Сестрорецкая,,,unmatched,0.75
1,Проектируемый пр. №8095,1032088176,Проектируемый проезд №8095,exact,1.0
1,Фестивальная ул. подъезд к 8с2,914079787,Фестивальная улица подъезд к 8 с 2,fuzzy,0.963
3,1-й Красноармейский пер.,10002295,1-й Красноармейский переулок,exact,1.0
3,1-й Лихачёвский пер.,10002310,1-й Лихачёвский переулок,exact,1.0
3,1-я Подрезковская ул.,10002415,1-я Подрезковская улица,exact,1.0
3,2-й Магистральный пр.,10002331,2-й Магистральный проезд,exact,1.0
3,2-я Подрезковская ул.,10002416,2-я Подрезковская улица,exact,1.0
3,3-й Новомихалковский пр.,10002356,3-й Новомихалковский проезд,exact,1.0
3,3-й Хорошевский пр.,10002620,3-й Хорошевский проезд,exact,1.0
3,3-я Песчаная ул.,10002398,3-я Песчаная улица,exact,1.0
3,4-й Новоподмосковный пер.,10002364,4-й Новоподмосковный переулок,exact,1.0
3,Авиаконструктора Микояна 14 (у Ходынки/ЦСКА),,,unmatched,0.769
3,Ильменский пр.,10002271,Ильменский проезд,exact,1.0
3,Красностуденческий пр.,10002297,Красностуденческий проезд,exact,1.0
3,Ленинградское ш. д.362А,,,unmatched,0.976
3,Малый Песчаный пер.,10002400,Малый Песчаный переулок,exact,1.0
3,Николая Рериха ул.,10002492,Николая Рериха улица,exact,1.0
3,Новомихалковский 4-й пр.,10002357,Новомихалковский 4-й проезд,exact,1.0
3,Пакгаузное ш.,10002391,Пакгаузное шоссе,exact,1.0
3,Петрозаводская ул.,10002402,Петрозаводская улица,exact,1.0
3,Подъезд к ГАИ (Хорошевское ш.40),10002418,"Подъезд к ГАИ (Хорошевское шоссе, 40)",exact,1.0
3,Проезд Аэропорта,10002182,Проезд Аэропорта,exact,1.0
3,Проезд к МВД (Коптево),1030392802,Проезд к МВД (район Коптево),exact,1.0
3,Проезд от Комсомольской к ТП,10002455,Проезд от Комсомольской улице к ТП,fuzzy,0.889
3,Проезд от Кронштадтского бул. до церкви,10002440,Проезд от Кронштадтского бульвара до церкви (Кронштадтский бульвар вл.24к.1),fuzzy,0.889
3,Проезд от Левобережной до МКАД,10002457,Проезд от Левобережной улицы до МКАД,fuzzy,0.889
3,Проезд Ленинградское ш.—3-я Сестрорецкая,10002581,3-я Сестрорецкая улица,fuzzy,0.857
3,Проезд от Нарвской до Водного стадиона,,,unmatched,0.75
