id;name;fragments;old_queue_candidate;confidence;review_status;pdf_samples;red_score;blue_score;green_score;method_note
12345226;1-й Амбулаторный проезд;1;;0;нужна ручная сверка;41;0;0;0;точечный/ориентировочный объект либо цвет линии не считан
10002187;1-й Балтийский переулок;1;2;1.0;высокая уверенность;112;0;46;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002295;1-й Красноармейский переулок;1;2;1.0;высокая уверенность;72;0;27;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002310;1-й Лихачёвский переулок;1;2;1.0;высокая уверенность;47;0;20;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002330;1-й Магистральный проезд;1;2;1.0;высокая уверенность;116;0;60;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002318;1-й Нижнелихоборский проезд;1;2;1.0;высокая уверенность;204;0;128;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002339;1-й Нижнемасловский переулок;1;2;1.0;высокая уверенность;15;0;10;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002361;1-й Новоподмосковный переулок;1;2;1.0;высокая уверенность;112;0;89;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
12345062;1-й Хорошевский проезд;2;1;1.0;высокая уверенность;214;85;0;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
12345087;1-й Хорошевский проезд д.3;1;1;1.0;высокая уверенность;32;17;0;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002183;1-я Аэропортовская улица;1;2;1.0;высокая уверенность;105;0;105;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002274;1-я Квесисская улица;4;2;0.77;высокая уверенность;154;28;122;7;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002415;1-я Подрезковская улица;1;;0;нужна ручная сверка;151;0;0;0;точечный/ориентировочный объект либо цвет линии не считан
10002561;1-я Радиаторская улица;1;2;0.03;низкая уверенность;80;0;35;34;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002579;1-я Сестрорецкая улица;1;;0;нужна ручная сверка;44;0;0;0;точечный/ориентировочный объект либо цвет линии не считан
10002623;1-я Хуторская улица;3;1;0.22;низкая уверенность;152;113;88;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002336;1-я улица 8 Марта;2;2;0.94;высокая уверенность;130;0;69;4;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002191;1-я улица Бебеля;2;2;0.64;средняя уверенность;85;0;85;31;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002376;1-я улица Новосёлки;1;;0;нужна ручная сверка;146;0;0;0;точечный/ориентировочный объект либо цвет линии не считан
754127963;2-й Амбулаторный проезд;1;3;0.44;средняя уверенность;215;8;0;25;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
