id,name
10002169,улица Авиаконструктора Микояна
10002185,Базовская улица
10002194,Беговая аллея
10002198,Бескудниковский бульвар
10002199,Бескудниковский переулок
10002201,Библиотечный проезд
10002203,1-й Боткинский проезд
10002204,2-й Боткинский проезд (Бориса Петровского)
10002210,Верхнелихоборская улица
10002221,1-й Войковский проезд
10002225,5-й Войковский проезд
10002227,Улица Космонавта Волкова
10002232,Вятская улица
10002241,Дегунинская улица
10002242,Дегунинский проезд
10002256,Дубнинская улица
10002275,2-я Квесисская улица
10002278,Клинская улица
10002280,улица Софьи Ковалевской
10002285,Коптевская улица
10002288,Коптевский бульвар
10002290,Коровинское шоссе
10002298,Кронштадтский бульвар
10002299,ТПУ «МОССЕЛЬМАШ» района Западное Дегунино
10002300,Автобусный круг у пл. «Ховрино»
10002324,улица Ляпидевского
10002325,1-я Магистральная улица
10002329,Магистральный переулок
10002332,1-й Магистральный тупик
10002342,Бульвар Матроса Железняка
10002347,Михалковская улица
10002348,Михалковский путепровод
10002359,Новопесчаная улица
10002367,8-й Новоподмосковный переулок
10002374,Нижняя улица
10002381,Онежская улица
10002386,Старый Петровско-Разумовский проезд
10002395,Песчаная улица
10002397,2-я Песчаная улица
10002399,улица Сальвадора Альенде
10002406,Петровский парк
10002411,Планетная улица
10002414,Транспортно-пересадочный узел (ТПУ) у станции метро «Водный стадион» (Площадь у станции метро «Водный стадион»)
10002434,"Подъезд к префектуре (Тимирязевская ул., д. 27)"
10002438,Поликарпова улица
10002448,Пр-д под Краснопресненским п/п
10002459,"Проезд от Ленинградского шоссе к университету Синергия (Ленинградский просп., 80Г)"
10002462,Бусиновский проезд (развязка МКАД 79 км)
10002485,Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183
10002487,Проезд от Бескудниковского бульвара до проезда у торгового центра
10002501,Проезд от Коровинского шоссе и разворотный круг у ТЭЦ-21
10002540,Веры Волошиной улица
10002546,Правды ул.
10002550,Приорова ул.
10002554,Улица Зарянова
10002556,4-й Ходынский проезд
10002568,Расковой улица
10002577,улица Серегина
10002587,Смольная улица
10002592,Старопетровский проезд
10002601,Талдомская улица
10002602,Театральная аллея
10002604,Территория перед ст.метро «Петровско-Разумовская»
10002605,Тимирязевская улица
10002614,Фестивальная улица
10002615,Флотская улица
10002619,2-й Хорошевский проезд
10002622,Хорошевское шоссе
10002624,2-я Хуторская улица
10002629,Улица Константина Царева
10002633,Чапаевский переулок
10002644,1-я улица Ямского Поля
10002645,3-я улица Ямского Поля
10002646,5-я улица Ямского Поля
10002650,Путепровод через Дмитровское шоссе
10002664,Проектируемый проезд №6368
10002667,улица Авиаконструктора Сухого
1017816137,ТПУ Окружная
12344925,"Ленинградский пр-т, д.76А (тыльная сторона ТЦ Метромаркет)"
12345393,ТПУ Балтийская Жилищник Войковский
314890525,ТПУ «Моссельмаш» (Головинский район)
314892354,ТПУ Беговая АВД САО
314902859,ТПУ «Аэропорт» (Хорошевский район)
314903749,ТПУ «Аэропорт» (район Аэропорт)
666849395,ТПУ Балтийская АвД САО
701406660,ТПУ «Хорошево»
749196409,Проезд от улицы Лавочкина к дому 23А
751086786,Территория у ст.м. «Беломорская»
753906080,Керамический проезд
754384317,улица Ивана Сусанина
754431382,Разворотный круг троллейбусов у метро «Сокол»
757159046,ТПУ Речной вокзал АвД САО
800905601,ТПУ Ховрино АВД САО
811643235,Территория у станции метро Хорошевская
marker-wave1-53,Площадка у платформы «Бескудниково» и пешеходная дорожка к Керамическому проезду
marker-wave1-68,ТПУ Речной вокзал Жилищник Левобережный
marker-wave1-91,ТПУ ЦСКА
