id;name;fragments;old_queue_candidate;confidence;review_status;pdf_samples;red_score;blue_score;green_score;method_note
10002203;1-й Боткинский проезд;1;2;0.43;средняя уверенность;592;98;173;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002221;1-й Войковский проезд;1;3;0.28;низкая уверенность;177;0;72;100;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002332;1-й Магистральный тупик;2;2;0.9;высокая уверенность;279;0;45;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002325;1-я Магистральная улица;2;1;0.35;низкая уверенность;359;263;171;32;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002644;1-я улица Ямского Поля;1;1;0.2;низкая уверенность;228;45;36;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002204;2-й Боткинский проезд (Бориса Петровского);1;1;0.98;высокая уверенность;419;87;2;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002619;2-й Хорошевский проезд;1;2;0.74;высокая уверенность;75;0;46;12;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002275;2-я Квесисская улица;3;1;0.15;низкая уверенность;244;100;85;25;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002397;2-я Песчаная улица;1;3;0.07;низкая уверенность;318;122;152;163;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002624;2-я Хуторская улица;2;2;0.44;средняя уверенность;309;54;275;154;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002645;3-я улица Ямского Поля;2;2;0.26;низкая уверенность;149;61;82;15;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002556;4-й Ходынский проезд;1;;0;нужна ручная сверка;60;0;0;0;точечный/ориентировочный объект либо цвет линии не считан
10002225;5-й Войковский проезд;1;2;0.73;высокая уверенность;236;47;171;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002646;5-я улица Ямского Поля;2;1;0.4;средняя уверенность;305;134;80;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002367;8-й Новоподмосковный переулок;2;;0;нужна ручная сверка;166;0;0;0;точечный/ориентировочный объект либо цвет линии не считан
10002300;Автобусный круг у пл. «Ховрино»;1;2;0.22;низкая уверенность;71;0;46;36;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002185;Базовская улица;1;1;0.6;средняя уверенность;256;77;8;31;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002194;Беговая аллея;1;3;0.52;средняя уверенность;219;30;48;100;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002198;Бескудниковский бульвар;2;2;0.48;средняя уверенность;1312;164;317;83;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002199;Бескудниковский переулок;1;2;0.06;низкая уверенность;69;30;32;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002201;Библиотечный проезд;1;3;1.0;высокая уверенность;48;0;0;31;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002342;Бульвар Матроса Железняка;1;2;1.0;высокая уверенность;415;0;131;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002462;Бусиновский проезд (развязка МКАД 79 км);1;2;0.53;средняя уверенность;178;24;112;53;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002210;Верхнелихоборская улица;1;2;0.32;низкая уверенность;264;29;93;63;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002540;Веры Волошиной улица;1;2;0.05;низкая уверенность;103;5;16;15;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002232;Вятская улица;1;2;0.87;высокая уверенность;416;45;359;14;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002241;Дегунинская улица;1;1;0.34;низкая уверенность;132;61;33;40;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002242;Дегунинский проезд;1;2;1.0;высокая уверенность;184;0;44;0;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
10002256;Дубнинская улица;3;1;0.47;средняя уверенность;1318;205;55;93;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
753906080;Керамический проезд;1;2;0.44;средняя уверенность;587;70;124;27;"историческая PDF-разметка; отдельная врезка Молжаниновского учитывается"
