Слой;Наименование;Геометрий
boundary;Граница САО (включая Молжаниновский район);3
queue1;ОДХ: 1-я очередь (97 позиций);153 геометрии / 96 отображаемых ID
queue2;ОДХ: 2-я очередь (489 позиций);603
queue3;ОДХ: 3-я очередь (46 позиций);68
pgm;Контейнеры ПГМ (215 привязок к ОДХ; всего 451 шт.);215
snow;Временное складирование снега (24 кандидата на карте);24
dry_snow;Сухие свалки снега (3 объекта, ОЗП 2026–2027);3
healthcare;Государственные учреждения здравоохранения (20 подтверждено);20
healthcare_review;Учреждение здравоохранения: адрес на уточнении (1);1
hydrants;Пожарные гидранты (24 адресных центроида);24
